1_ground_force_vx_mean,1_ground_force_vx_var,1_ground_force_vy_mean,1_ground_force_vy_var,1_ground_force_vz_mean,1_ground_force_vz_var,ground_force_vx_mean,ground_force_vx_var,ground_force_vy_mean,ground_force_vy_var,ground_force_vz_mean,ground_force_vz_var,1_ground_torque_x_mean,1_ground_torque_x_var,1_ground_torque_y_mean,1_ground_torque_y_var,1_ground_torque_z_mean,1_ground_torque_z_var,ground_torque_x_mean,ground_torque_x_var,ground_torque_y_mean,ground_torque_y_var,ground_torque_z_mean,ground_torque_z_var
77.03659785946327,184.4158475518787,926.6583352125956,1720.9258638663127,75.29495437999329,101.31950300124927,3.6607261115212952,19.422167057120145,-14.232110950906256,129.26090659801588,2.1444182034312207,59.71331441464294,98.4935442221059,674.763834793027,0.0,0.0,-77.86777737515894,8037.508613116179,1.756742503322396,1.8739516079071312,0.0,0.0,-2.9500865264235876,7.406312350416109
88.96505334260762,219.26401294213701,954.5732400988942,1821.831478286612,78.67404514760689,101.85251931035707,6.605512490518933,21.792886404857956,-12.716327645984425,128.60886001375977,3.5445849424912854,59.22232377181704,101.73764940001803,717.2741400423096,0.0,0.0,-90.36895891501143,8646.229480448272,1.6323697170822857,1.8045892429553905,0.0,0.0,-2.9375033477177017,6.7803169526915
101.55408150302316,260.15312174670765,977.8717936168268,1844.4208370921615,81.39538808725952,101.69630366739914,10.149863355357923,25.73806038753842,-7.2600448018369566,136.70268122004046,5.513069144914512,59.054650932153066,104.3845555409643,754.3958064317684,0.0,0.0,-102.94816201330306,9175.481209005071,1.0961345427909228,1.7301244544958432,0.0,0.0,-1.8649896440076825,7.535871940636286
114.52266044854375,303.511580311776,994.6418825955649,1786.60322562087,83.20446826420448,101.76912618014823,13.950547986101538,29.510642828169473,3.9550543258990376,211.96913637687453,8.061233010183452,58.346806083920875,106.2033387641243,782.9558173361638,0.0,0.0,-115.16791532360944,9560.391103889411,-0.064068447814863,2.594920665238245,0.0,0.0,0.8144394201828509,14.942231997708893
127.49879028720987,340.62983960418063,1003.069634481571,1745.0876760690048,83.88618963887129,104.61993741745398,17.35113529005361,32.70160894126938,22.776231316940518,488.18108314877446,11.060172205061562,55.316011025064476,106.98725432913069,800.8454136978182,0.0,0.0,-126.5358405479141,9741.026697639743,-2.072404450905146,6.908672674834251,0.0,0.0,5.663948056594358,41.03083582596467
140.0110736057792,361.18887065510927,1001.5122775839385,1944.1028917478488,83.26396544866044,114.15321078772155,19.403894037167465,52.67995145166302,50.78987568813641,1133.2105640217503,14.209715357166683,52.04205758361369,106.56321312594127,807.7333410763389,0.0,0.0,-136.51893858569812,9683.975325142708,-5.133872419923312,18.729211727395054,0.0,0.0,13.180279757698278,105.45560049841225
151.48805328447705,366.6974238057114,988.58343755922,2660.6693046375194,81.2343420020369,131.66027280610314,18.885741274996615,111.14723457634668,88.96491889147767,2233.5084857573006,17.04754476628081,58.45002821104485,104.8025874224609,804.5399532035372,0.0,0.0,-144.56178976070854,9396.988898181407,-9.398613293005923,42.333859542459194,0.0,0.0,23.681465913627783,230.1329637043723
161.25765114752429,379.26593309156635,963.2543991332667,3997.268066956168,77.74202781319646,152.47359543769824,14.398962479766249,196.6072631061599,137.35698411555452,3647.7107889533977,18.945574075301344,81.08287344850643,101.62766134331304,790.7231558441694,0.0,0.0,-150.13401306488126,8918.709746861196,-14.919550041043527,79.43729134652354,0.0,0.0,37.23995633385707,427.4768309413196
168.5912529288117,423.806407023518,924.9047185142824,5684.226063398187,72.75463158131241,170.25858407492382,4.849394894551341,278.43727653184015,195.28892473565858,5140.927196604368,19.195085275633858,114.80680961430856,97.00834212526888,761.9963928668717,0.0,0.0,-152.76935346570744,8276.454632067032,-21.6629604918151,130.04971149336097,0.0,0.0,53.752403903441326,704.1717838079583
172.78540688319083,490.1889755678792,873.4101776936633,7222.598179427478,66.3020284899442,181.24028856338856,-9.931519574416209,347.7995733594642,261.60933129636174,6591.748695764109,17.21297435689675,149.42652962327836,90.96866691712196,713.338368541579,0.0,0.0,-152.08299781949697,7467.306958979043,-29.538658443303298,195.06749743286002,0.0,0.0,73.00684885160159,1078.6344369628514
173.17127530522538,539.6288144315365,809.2386850997118,8321.960088967953,58.5522772997232,185.24196224174176,-29.01650975484516,417.01217838166883,334.61148903960117,7929.706807419794,12.705691258100394,177.3578377129306,83.60336443219776,645.183432490801,0.0,0.0,-147.77190659526042,6496.863497136591,-38.38795012096043,274.2508892200521,0.0,0.0,94.59115703071231,1578.0800283684846
169.0932059367752,560.261681137308,733.6199335923318,9015.813071655124,49.868542223493904,182.61726445614613,-50.759577997985,497.2887696806625,411.7479867554773,9045.511346403038,5.6986763167700785,197.05012109357332,75.09998413395249,563.3447088120671,0.0,0.0,-139.68916560230213,5416.480699121618,-47.93143329811753,364.32642682642614,0.0,0.0,117.70324584474247,2213.4687997310084
160.06797315050903,574.8338756944373,648.6241697795937,9445.701713737537,40.75817336589416,173.5635539446119,-73.19033371457412,583.6176171360029,489.6697676250566,9854.02481856755,-3.4790225018196153,212.0319333036797,65.72913320013134,475.7312584519933,0.0,0.0,-127.94699619473963,4314.336465521564,-57.75176968661688,460.33336426014887,0.0,0.0,141.10155686653698,2960.965672605016
